Lang  mean_acc   std_acc  mean_macro_f1  std_macro_f1
   tel  0.859251  0.008596       0.858375      0.008340
   nep  0.843392  0.023731       0.842622      0.025023
   zho  0.829673  0.016708       0.829413      0.016871
   mya  0.815511  0.013774       0.808785      0.013565
   ben  0.802882  0.006410       0.797143      0.006749
   arb  0.775740  0.005423       0.773944      0.007267
   fas  0.831259  0.011691       0.768426      0.020919
   ori  0.806602  0.020448       0.755958      0.023143
   hau  0.921120  0.009692       0.753436      0.056534
   swa  0.753540  0.007839       0.752725      0.008150
   hin  0.884478  0.014021       0.744035      0.025626
   eng  0.760081  0.012888       0.738222      0.017075
   pan  0.738235  0.017350       0.737475      0.017269
   tur  0.736048  0.011047       0.734131      0.010464
   pol  0.740284  0.015486       0.729486      0.019998
   spa  0.721331  0.027968       0.720970      0.028097
   rus  0.766731  0.018074       0.712669      0.016405
   urd  0.770706  0.019139       0.710992      0.020561
   amh  0.801017  0.008289       0.689936      0.012159
   khm  0.917018  0.005743       0.686723      0.031374
   deu  0.672642  0.013356       0.671528      0.014523
   ita  0.630780  0.025221       0.606031      0.017673



