Lang  mean_acc   std_acc     mean_macro_f1    std_macro_f1
tel  0.866022   0.006564    0.865566        0.006852
zho  0.857243   0.004333    0.856943        0.004469
nep  0.841895   0.014160    0.841073        0.014712
mya  0.823469   0.009777    0.818140        0.011809
ben  0.817278   0.011698    0.814558        0.011288
arb  0.783728   0.009328    0.782848        0.009312
fas  0.842792   0.017291    0.774788        0.037105
eng  0.778398   0.019680    0.761356        0.025538
swa  0.760691   0.006552    0.759091        0.007372
pol  0.764949   0.015224    0.757078        0.017619
ori  0.811663   0.014053    0.756434        0.014679
tur  0.749586   0.016335    0.747850        0.015765
pan 0.748824   0.016492    0.747251        0.017555
hau  0.911809   0.008248    0.737021        0.045977
urd  0.786705   0.023145    0.736375        0.010673
hin  0.885568   0.010275    0.730951        0.030513
rus  0.779567   0.008856    0.724493        0.019181
spa  0.714675   0.018094    0.712908        0.018826
amh  0.807622   0.007096    0.705422        0.020582
khm  0.917771   0.004297    0.677391        0.040251
deu  0.668553   0.016200    0.665973        0.017682
ita  0.650872   0.012809    0.636362        0.024738
