   Lang   mean_acc    std_acc      mean_macro_f1  std_macro_f1
   nep  0.845885   0.016115       0.845490      0.016164
   tel  0.846601   0.032197       0.844590      0.035338
   zho  0.842991   0.012064       0.842304      0.012604
   ben  0.822084   0.009284       0.818251      0.010422
   arb  0.793195   0.009696       0.790431      0.010709
   fas  0.843399   0.012710       0.777297      0.022659
   tur  0.768617   0.026217       0.766803      0.028809
   mya  0.776753   0.043090       0.762144      0.050301
   pol  0.772901   0.014240       0.758518      0.020261
   hin  0.895405   0.007113       0.750551      0.014090
   eng  0.776239   0.024487       0.746901      0.042564
   swa  0.745529   0.011728       0.743359      0.013212
   ori  0.807855   0.011702       0.736369      0.029330
   pan  0.732353   0.029588       0.728527      0.030102
   hau  0.909069   0.012152       0.723788      0.062576
   rus  0.780763   0.012433       0.718048      0.053460
   spa  0.721029   0.031858       0.716339      0.038460
   urd  0.782496   0.029430       0.702650      0.077329
   deu  0.680503   0.011312       0.677250      0.013389
   amh  0.786912   0.019724       0.610899      0.085773
   ita  0.621770   0.010350       0.572646      0.059303
   khm  0.913554   0.003447       0.536027      0.032863


