Lang  mean_acc   std_acc  mean_macro_f1  std_macro_f1
   nep  0.840898  0.012359       0.840765      0.012271
   tel  0.840240  0.008773       0.838809      0.009967
   zho  0.832944  0.015124       0.832887      0.015165
   mya  0.821050  0.014402       0.814566      0.015436
   ben  0.814878  0.014012       0.811343      0.014785
   arb  0.789053  0.010485       0.788402      0.010803
   ori  0.826449  0.013866       0.782848      0.009967
   fas  0.838240  0.014479       0.780139      0.020433
   pol  0.770820  0.019754       0.765281      0.020136
   eng  0.778712  0.014567       0.761109      0.014870
   tur  0.753814  0.019037       0.753460      0.019015
   rus  0.790328  0.017891       0.750193      0.020213
   hin  0.891035  0.015127       0.745974      0.043437
   swa  0.744813  0.010876       0.742583      0.013312
   hau  0.912081  0.004733       0.738404      0.039595
   urd  0.783327  0.011093       0.736769      0.010137
   pan  0.734706  0.020241       0.732564      0.021027
   spa  0.733434  0.023111       0.731860      0.023738
   amh  0.801915  0.011647       0.707558      0.013616
   khm  0.910241  0.007070       0.679225      0.012040
   deu  0.679245  0.014513       0.675744      0.017071
   ita  0.642174  0.013958       0.609447      0.023674
