Lang  mean_acc   std_acc  mean_macro_f1  std_macro_f1
   zho  0.837150  0.010671       0.836940      0.010695
   nep  0.835910  0.021242       0.835735      0.021477
   tel  0.816153  0.010796       0.815984      0.010728
   ben  0.793581  0.005348       0.789749      0.004874
   mya  0.787475  0.010814       0.776462      0.014123
   arb  0.775444  0.011923       0.772890      0.011904
   eng  0.790496  0.020021       0.769238      0.020742
   fas  0.828832  0.015956       0.750714      0.028561
   pol  0.752822  0.010139       0.744335      0.011581
   tur  0.742394  0.021523       0.741734      0.021791
   hin  0.886297  0.007256       0.728488      0.021500
   swa  0.723643  0.014934       0.721372      0.015669
   pan  0.718235  0.015158       0.717571      0.015642
   spa  0.717095  0.017746       0.716507      0.018012
   rus  0.773599  0.009681       0.714448      0.004459
   ori  0.784628  0.011650       0.701471      0.020091
   urd  0.763686  0.009014       0.683196      0.016930
   deu  0.676101  0.010571       0.675346      0.010446
   amh  0.793216  0.009260       0.665373      0.025724
   khm  0.919277  0.003545       0.655716      0.020719
   hau  0.903314  0.005924       0.626088      0.073898
   ita  0.637372  0.010666       0.617989      0.008830
